Title,Abstract,Authors,identifierKeywords,Database,Selection,Selection criteria violation,Flagged to read later
Librarians Leading Change: Informal Learning Spaces and the Interception of Public Libraries and STEAM,"Public libraries throughout the United States are increasingly using technological platforms to provide information resources to students across socioeconomic environments. Advances in technology have affected the way in which we learn with the advent of online learning, e-learning and shared learning experiences that have become ever present in schools and libraries. How relevant is the public library in the initiatives that are directly related to the much-needed support of science, technology, engineering, arts, and math (STEAM)? This study explores the public library as a free, public space for informal learning and the democratic ideals of success as it relates to science education, achievement, and national innovation. The purpose of this study was to determine the challenges that the public library experiences in the implementation of STEAM programs, strategies, and practices employed by the public library in managing the implementation, and how the public library measures success in the process. The questions explored are an (a) examination of best practices in developing strategies for implementation and the challenges that public libraries face as they relate to the implementation and development of STEAM programs, (b) the challenges that public libraries face as they relate to the implementation and development of informal learning programs focused on STEAM, (c) how public libraries measure success within informal learning programs related to STEAM, and (d) what lessons have been learned in the development of informal learning spaces focused on STEAM in the public library.","Small, Cheryl R.","Communication and the arts , Social sciences , Education , Digital divide , Digital inclusion , Informal learning , Public libraries , STEAM , Technology",Publicly Available Content Database,No,4. Duplication,
Library and Student Innovation Center: Makerspace!,"The College of Engineering and Applied Science together with the College of Arts and Sciences, the College of Education, and the UW Libraries developed a Library/Student Innovation Center (LIC/SIC), Makerspace, to spark student innovation, creativity, and design skills. In May 2012, Governor Mead, the State legislature, and the Wyoming Governor’s Energy, Engineering, STEM Integration Taskforce articulated a vision to propel the College of Engineering and Applied Science (CEAS) and the University of Wyoming to the realms of excellence in instruction, research, and service.” Part of this initiative included active learning “Makerspace” in the new Engineering Education and Research Building (EERB). Makerspace employs technology along with hands-on education to spark student innovation, creativity, design and entrepreneurship. The UW Libraries has graciously provided 2500 square feet of space to develop a prototype Library Innovation Center during the Fall 2016 semester. Lessons learned and equipment purchased will form the basis of the Student Innovation Center planned for the EERB. Ground breaking for the EERB was October 7, 2016 with a scheduled completion of Spring 2019. The goal of the LIC/SIC is to provide experiential learning space for STEAM (Science, Technology, Engineering, Arts, and Math) students. The LIC/SIC provides a location for students to explore ideas, complete class projects, or pursue an entrepreneurial innovation. Also, the space is available to conduct classes and workshops. The space is coordinated and managed by an onsite specialist. The Library/Student Innovation Center planning team consists of an interdisciplinary group of faculty members and students with a common interest – hands on, innovative learning. In this paper we provide detailed information in developing a Makerspace including equipment selection, staffing, funding, day-to-day operations and lessons learned. This paper serves as a useful guide for other institutions considering standing up a makerspace.","Barrett, Steven F;Dousay, Tonia A;Kerr, Tyler J;Schmidt, Larry;Gellis, Brandon Seth;Ballard, Jesse",,Publicly Available Content Database,No,1. Space related,
"Making on the Move: Mobility, Makerspaces, and Art Education","Combining the excitement from the maker movement and the novel creation of deployable makerspaces, we review the development of the Mobile Atelier for Kinaesthetic Education (MAKE) 3D. MAKE 3D is a mobile makerspace platform that can be deployed anywhere there is electricity to create a curricular spectacle of digital fabrication in particular additive manufacturing or what is more commonly referred to as 3D printing. Our project combines this notion of curricular spectacle and a mobile makerspace platform, to develop strategies in how to meet the novice user almost anywhere and to entice them into a series of hands‐on activities that would give them a range of knowledge and aptitude for additive techniques in digital fabrication. We review the component parts of our Material to Form curriculum and explore thematic connections between the maker movement and art education including STEAM and interdisciplinarity; design thinking and kinaesthetic learning; and place‐based education and the mobile platform. Informal practices in art education and the mobile makerspace advances forms of place and kinaesthetic learning. Similar curricular setups are therefore encouraged to reinforce and expand prior knowledge, broaden participation and provide an adaptable learning space for STEAM initiatives.","Jordan, Alvaro;Knochel, Aaron D;Meisel, Nicholas;Reiger, Kelsey;Sinha, Swapnil","making , makerspace , mobility , STEAM , digital fabrication , kinaesthetic learning , 3D printing",Design & Applied Arts Index (DAAI),No,1. Space related,
"Making on the Move: Mobility, Makerspaces, and Art Education","Combining the excitement from the maker movement and the novel creation of deployable makerspaces, we review the development of the Mobile Atelier for Kinaesthetic Education (MAKE) 3D. MAKE 3D is a mobile makerspace platform that can be deployed anywhere there is electricity to create a curricular spectacle of digital fabrication in particular additive manufacturing or what is more commonly referred to as 3D printing. Our project combines this notion of curricular spectacle and a mobile makerspace platform, to develop strategies in how to meet the novice user almost anywhere and to entice them into a series of hands-on activities that would give them a range of knowledge and aptitude for additive techniques in digital fabrication. We review the component parts of our Material to Form curriculum and explore thematic connections between the maker movement and art education including STEAM and interdisciplinarity; design thinking and kinaesthetic learning; and place-based education and the mobile platform. Informal practices in art education and the mobile makerspace advances forms of place and kinaesthetic learning. Similar curricular setups are therefore encouraged to reinforce and expand prior knowledge, broaden participation and provide an adaptable learning space for STEAM initiatives.","Jordan, Alvaro;Knochel, Aaron D.;Meisel, Nicholas;Reiger, Kelsey;Sinha, Swapnil",,ERIC,No,4. Duplication,
Making Space: Teacher Perceptions of How Participation and Choice Are Mediated within Maker Education in Independent Schools,"While previous research of maker spaces has primarily been focused on public and community spaces, this dissertation looked at maker education in independent schools. Maker education often challenges traditional approaches to teaching and learning, positioning teachers more as facilitators who support students to make meaningful decisions as they realize their big ideas. In examining whether maker education is one way for independent schools to create more inclusive educational settings, this dissertation paid close attention to the pedagogical moves of maker education teachers. In order to conceptualize the power dynamics that influence the teaching and learning within maker education, this study used the construct of third space to explore pedagogical forms of power. Choice and participation are both factors that influence where power lies in a classroom. To better understand the mediating factors of choice and participation, this study used a qualitative approach to examine 17 different teachers’ perceptions of choice and participation within maker education in independent schools. This study also explored how the limitations of COVID-19 impacted the work maker education teachers did with their students. An analysis of the interviews explored how maker teachers’ practices and pedagogical moves make space for student choice and agency. The findings revealed that teacher autonomy enabled the teachers to lift up multiple ways of knowing and gave them a freedom from assigning grades, allowing them to rethink how students were assessed. The teachers’ perceptions of their approach to teaching also appeared aligned with several culturally responsive teaching (CRT) practices, positioning maker education with the potential to renegotiate what is considered legitimate knowledge and providing independent schools with one way to create more inclusive settings. An analysis of findings related to the impacts of COVID-19 revealed that teachers were able to identify several opportunities as a result of COVID-19 limitations. Having fewer materials available proved to be beneficial, time became more expansive. and students’ learning was better connected to their home-based experience. The experiences that maker education teachers described facilitating during COVID-19 present the option to do things differently when students return to in-person learning.","Bird, Kelly","Culturally responsive teaching , Independent school , Maker education , STEAM , Students of color , Third space",Publicly Available Content Database,No,1. Space related,
Optimization of Steam Distillation Process and Chemical Constituents of Volatile Oil from <i>Angelicae</i> <i>sinensis</i> Radix,"In this study, the steam distillation process of volatile oil from Angelicae sinensis Radix was optimized according to the concept of quality-by-design. A homemade glass volatile oil extractor was used to achieve better cooling of the volatile oil. First, the soaking time, distillation time, and liquid–material ratio were identified as potential critical process parameters by consulting the literature. Then, the three parameters were investigated by single factor experiments. The volatile oil yield increased with the extension in the distillation time, and first increased and then decreased with the increase in soaking time and liquid–material ratio. The results confirmed that soaking time, distillation time, and liquid–material ratio were all critical process parameters. The kinetics models of volatile oil distillation from Angelicae sinensis Radix were established. The diffusion model of spherical particle was found to be the best model and indicated that the major resistance of mass transfer was the diffusion of volatile oil from the inside to the surface of the medicinal herb. Furthermore, the Box–Behnken experimental design was used to study the relationship between the three parameters and volatile oil yield. A second-order polynomial model was established, with R2 exceeding 0.99. The design space of the volatile oil yield was calculated by a probability-based method. In the verification experiments, the average volatile oil yield reached 0.711%. The results showed that the model was accurate and the design space was reliable. In this study, 21 chemical constituents of volatile oil from Angelicae sinensis Radix were identified by gas chromatograph-mass spectrometer(GC-MS), accounting for 99.4% of the total volatile oil. It was found that the content of Z-ligustilide was the highest, accounting for 85.4%.","Wan, Na;Lan, Jing;Wu, Zhenfeng;Chen, Xinying;Zheng, Qin;Gong, Xingchu","Radix <i>Angelicae sinensis</i> , volatile oil , Box–Behnken design , steam distillation , extraction kinetics , design space",Publicly Available Content Database,No,1. Space related,
Optimization of Steam Distillation Process for Volatile Oils from <i>Forsythia suspensa</i> and <i>Lonicera japonica</i> according to the Concept of Quality by Design,"In this study, the process of steam distillation to collect volatile oils from Forsythia suspensa ( F. suspensa ) and Lonicera japonica ( L. japonica ) was optimized according to the concept of quality by design. First, the liquid/material ratio, distillation time, and collection temperature were identified as critical process parameters by a review of the literature and single-factor experiments. Then, a Box–Behnken design was used to study the quantitative relationship between the three process parameters, two raw material properties, and the yield of volatile oil. A mathematical model was established with an R 2 value exceeding 0.90. Furthermore, the design space of the volatile oil yield was calculated by a probability-based method. The results of a verification experiment showed that the model was accurate and the design space was reliable. A total of 16 chemical constituents were identified in the volatile oil from mixtures of F. suspensa and L. japonica . The content of β-pinene was the highest (54.75%), and the composition was similar to that of the volatile oil of F. suspensa . The results showed that when F. suspensa and L. japonica were distilled together, the main contribution to the volatile oil was from F. suspensa . The volatile oil yield from the combination of F. suspensa and L. japonica was not higher than that from L. japonica .","Chen, Xinying;Guo, Dongyun;Gong, Xingchu;Wan, Na;Wu, Zhenfeng","<i>Forsythia suspensa</i> , <i>Lonicera japonica</i> , volatile oil , steam distillation , design space",Publicly Available Content Database,No,4. Duplication,
Post‐Operative ‘Post‐isms’: Details of the 21st‐Century Educations of Architecturalists: A.D.,"The teaching of History and Theory can be as speculative as a design studio, giving the subject a projective emphasis. Mark Garcia , Senior Lecturer at the University of Greenwich, London, renamed the related course at the university as Histories/Theories/Futures and redesigned its content. The programme operates in a much more propositional way than it previously did and often constitutes the intellectual armature of the Masters student's design projects. He describes his modus operandi and shows some of his students’ work.","Garcia, Mark","Gosia Malus , The 21st Century Onion Dome as the Exile Embassy , University of Greenwich , London , Mark Wigley , Charles Jencks , ‘Histories’, ‘Theories’ and ‘Futures’ (HTF) courses , Patrik Schumacher , Bruno Latour , ‘Why Has Critique Run Out Of Steam?’ , Will Bryan , On The Architectural Capriccio , Marilia Lezou , Staging Space of the Everyday , Bernard Tschumi , Sven Reindl , AR Spaces for Virtual Architectures in Algorithmic Dérive , Luke Olsen , Andrew Healey , Isobel Eaton , Dissertation Medal , RIBA President's Medals , Essayisms , Benjamin Dresner‐Reynolds , On Ceding Space to Non‐human Systems , Adam Fryett , Metropoly , Samiur Rahman , @Instaandarch , Rosa Couloute , Decolonising and Recolonising the Spaces of Post‐Colonial Women , Sean Allen , The 21st Century Posthuman Wunderkammer , Sylvia Lavin , Royal Academy , Philadelphia Museum of Art , Walker Art , Minneapolis , Art Institute of Chicago , Steven Hutt , RIBA Norman Foster Travelling Scholarship , Beatriz Colomina",Design & Applied Arts Index (DAAI),No,1. Space related,
"Promoting STEAM Learning in the Early Years: ""Pequeños Científicos"" Program","Education in the early years is an excellent space for promoting integrated learning. The STEAM education model combines Science, Technology, Engineering, Arts and Mathematics holistically and has gained force globally, mostly in developed countries. However, in developing countries of Latin America, STEAM education programs are incipient and still unfamiliar to many early childhood and primary school educators. ""Pequeños Científicos"" is a pioneer educational program in Chile aimed at providing extracurricular academic enrichment to students 3 to 10 years old, with a gender-empowering approach. With a cross-sectional design and integrating data from students, researchers and educators, this article documents program design and implementation issues based on a partial application of SWOT analysis grounded on strengths, weaknesses and opportunities. The strengths were identified the strongest elements that might be transferred to similar interventions, for instance, students were positively engaged in the learning processes and actively communicating their advances through diverse artistic formats. The weaknesses were mainly difficulties that can be prevented in future replication, such as teachers' management of children's behavior. Opportunities present alternatives to these types of programs to improve and grow; for example, through articulation of the courses and including children with additional needs. We call for tackling the weaknesses for more efficient application and discuss the promotion of STEAM learning in the early years in the contexts of high educational inequality for future replication in diverse contexts.","Cabello, Valeria M.;Martínez, M. Loreto;Armijo, Solange;Maldonado, Lesly","Early Childhood Education , Elementary Education",ERIC,No,1. Space related,
"Report on Utilities Usage and Cost, 1980-81 to 1984-85","The consumption and cost of energy and other types of utilities by state college campuses were analyzed by the Alabama Commission on Higher Education. A focus of attention has been changes in energy usage per square foot from year to year as an indicator of the institutions' energy conservation and, over time, of the changing characteristics of energy efficiency of the campuses' facilities. Data on utilities usage and costs are provided for senior institutions, two-year colleges, junior colleges, technical colleges, and community colleges. Steps that were taken to produce the statistical tables and graphs include: heat values were calculated for reported fuel and steam consumption by year; electrical energy consumption was compiled for each class of building space; energy values per gross square foot of building floor area were calculated for fuels and steam, for electrical energy, and for total energy input; total purchased fuel and utilities costs, including water, sewage disposal, and solid waste disposal, were determined and average fuel and utilities costs per gross square foot were calculated; heating degree-days and cooling degree-days were determined for each reporting year; and graphs were prepared for institutions showing total energy consumption per gross square foot by year. A blank Quarterly Utilities Report and instruction are appended. (SW)",,"Alabama , Energy Consumption",ERIC,No,1. Space related,
STEAM-Learning to Mars: Students’ Ideas of Space Research,"Multidisciplinarity and the enrichment of science and mathematics education toward the so-called STEAM-approach where the A stands for art, has raised a lot of academic interest in the past decade. In this study, 5th and 6th graders from the greater Helsinki area ( N = 390) participated in a several months long, Mars-colonization themed STEAM-learning intervention. Testing the students’ science knowledge using pre- and post-tests, their learning outcomes were compared to those of 5th and 6th graders from a control school ( N = 119), who during the same period studied STEM-subjects in a more traditional manner. The main factors that were taken into account during the comparisons were gender and academic achievement level. Based on only whether there was any improvement between the pre- and post-test scores, girls were found to have benefitted from the Mars-module more than boys did. While also considering the magnitude of the said improvement, no significant difference in the effectiveness of the learning module was found between genders. The group of academically highest-achieving students improved their test scores the most after participating in the STEAM-learning module. This is an important, somewhat surprising finding, as often informal, outside of school learning has been found to benefit especially students with lower grade point averages.",,"STEM to STEAM , informal learning , transversal competencies , science centre education , inquiry based , hands-on , thinking skills",Publicly Available Content Database,No,4. Duplication,
Students' Multimodal Knowledge Practices in a Makerspace Learning Environment,"In this study, we aim to widen the understanding of how students' collaborative knowledge practices are mediated multimodally in a school's makerspace learning environment. Taking a sociocultural stance, we analyzed students' knowledge practices while carrying out STEAM learning challenges in small groups in the FUSE Studio, an elementary school's makerspace. Our findings show how discourse, digital and other ""hands on"" materials, embodied actions, such as gestures and postures, and the physical space with its arrangements mediated the students' knowledge practices. Our analysis of these mediational means led us to identifying four types of multimodal knowledge practice, namely orienting, interpreting, concretizing, and expanding knowledge, which guided and facilitated the students' creation of shared epistemic objects, artifacts, and their collective learning. However, due to the multimodal nature of knowledge practices, carrying out learning challenges in a makerspace can be challenging for students. To enhance the educational potential of makerspaces in supporting students' knowledge creation and learning, further attention needs to be directed to the development of new pedagogical solutions, to better facilitate multimodal knowledge practices and their collective management.","Kajamaa, Anu;Kumpulainen, Kristiina",Elementary Education,ERIC,No,1. Space related,
Technology's Past: America's Industrial Revolution and the People Who Delivered the Goods,"This book presents illustrated profiles of 76 individuals and 2 notable vehicles (the winner of the first around-the-world car race in 1908 and the first steam locomotive in the United States). It includes such recognized innovators as Alexander Graham Bell (inventor of the telephone), George Washington Carver (agricultural products innovator), the Wright brothers (pioneers of flight), and Thomas Edison (holder of a record 1,093 patents, including ones for the phonograph, the first practical electric light bulb, and motion picture equipment). The book also features others who, in spite of their significant and interesting contributions, are not well known today. They include the following inventors: John Hyatt (plastic), Nikola Tesla (alternating current electricity), Joseph Brown (universal milling machine), Lee DeForest (radio), Clessie Cummins (automotive diesel engine), Ole Evinrude (outboard motor), Igor Sikorsky (helicopter), and Vladimir Zworykin (television). Chronological arrangement of the profiles reveals the evolution of technology, as the ideas and innovations of one inventor take off from and build upon the work of others who came before. A special section at the end provides additional information on four fields that are particularly important in the late 20th century: computers, robotics, manned space flight, and television. For those who have interests in particular areas of technology, subject headings are provided on the first page of each profile. An index is provided. (YLB)","Karwatka, Dennis",,ERIC,No,1. Space related,
The Culture of Disciplines: Reconceptualising Multi-Subject Curricula,"The arts are recognised for their potential to humanise and enrich educational experience, but hold a lowly position in the hierarchy of school subject-based curricula. This limits the time, and thus the influence, they can have. Whilst schools welcome the idea of a curriculum rich with both arts and science subjects, resistance to realising this is often advanced in terms of the proportion of curriculum time required for different subjects. Arguments for STEAM education, whilst apparently challenging this and valuing the potential of the arts, have reinforced its servant role. Drawing on research into a particular project, where the perspectives of the arts and sciences inform and enrich how the other is experienced and understood, we reframe this problem. Firstly, drawing on Massey's conception of space-time, we argue that one can conceive of more than one subject occupying the same curricular space on a school timetable. Secondly, informed by Geertz, we consider what the culture of the arts and the sciences offers, suggesting that this appears to reflect what teachers have valued. We argue that foregrounding the culture of school subjects, and particularly the culture of the arts, as part of a multicultural frame can facilitate rich and engaging educational experiences. Rather than being positioned as competing for time or status in the curriculum, a focus on culture emphasises how the co-existence and interplay of multiple subjects broadens, develops and thus enriches children's educational experience. It also enables a different conception of, and thus role for, the arts in schooling.","Davies, Richard;Trowsdale, Jo",,ERIC,No,1. Space related,
The Emerging Critical Pedagogies of Dance Educators in an Urban STEAM After-School Program for Black Girls,"The preparation of urban educators has gained widespread attention across education policy, research, and practice. As US urban cities have become more diverse, the teacher workforce has not kept up, and the racial/ethnic demographics of students and teachers are disproportionately incongruent. In order to eradicate an education landscape that perpetuates white, middle-class ways of knowing and being, often at the expense of the cultural practices and cultural wealth of historically marginalized students of color, urban teacher education must be centered toward justice and rooted in critical pedagogies. The literature, albeit bleak, reveals that these perspectives must also be applied to urban dance education. Dance education programs have been significantly eliminated from urban schools over time, and although dance has historical roots in African and African diasporic cultures, dance education continues to be Eurocentric. This phenomenological case study examines the emerging critical pedagogies of undergraduate dance majors and minors who served as dance teachers in an urban Science, Technology, Engineering, Arts, and Mathematics (STEAM) after-school program for 7-12-year-old Black girls. Findings reveal that (a) navigating race, place, and space; (b) mentorship and practice; and (c) critical reflection and self-efficacy were critical components of the urban dance educators' emerging critical pedagogies. Implications for urban dance education and the broader field of urban education are provided.","Allen-Handy, Ayana;Ifill, Valerie;Schaar, Raja Y.;Woodard, Monique;Rogers, Michelle","Higher Education , Postsecondary Education",ERIC,No,1. Space related,
The implementation results of safe bicycle transport in Taipei City,"Background: In 2013, there were 7,016 bicycle accidents, resulting in 62 deaths and 10,162 injuries in Taiwan. Since then, there have been more than 7,000 accidents every year, and the number of accidents in 2017 has reached a peak of 8,106 records for the past five years. Among them, the number of electric bicycle accidents increased the most, with 1,183 compared to 2013 and the number of persons injured also increased by 1,310 whereas the number of bicycle accident from 6,262 to 6,169. Methods: Taipei City creating a friendly, safe and secure urban environment to ride: 1. Bicycle Road Network Deployment: bicycle-exclusive lanes, walkways, bicycle and pedestrian shared path and so on in order to meet a variety of traffic needs. 2. Safe and comprehensive road environment: Set up bike stands, road surfacing, street trees, signs, (pavement) markings, dedicated signs, intersection rotation and other traffic amenities to create a safe and comfortable riding environment. To promote cycling to the station to transfer MRTs is tantamount to encouraging people to take more public transport. 3. Planning a city bicycle rental system: To provide a public rental system to expand the convenience, visibility and the community of users launched a new type of public transport - public bicycle rental system (YouBike). The Youbike started demonstration operation, initially setting up 11 station points and 500 bicycles in the peripheral regions of Xinyi District on March 1 1th, 2009, and now there are 400 station points in all districts. 4. Bicycle Safe Riding Education: Most people refuse to wear helmet protection, and do not install safety devices such as reflectors and warning lights. Causes easy collision at night. The top three reasons for bicycle accidents are not giving way according to regulations, inappropriately making U-turns (turn direction) and Breaching traffic signs and sign controls. Furthermore, wrong-way driving and Careless overstepping are also the main causes of accidents. 5. Smart transportation Setting: To build a safe environment from the appropriate space. Its city area cycle path from 41 kilometers in 2006 (16.4 for dedicated lanes and 24.6 for bicycle and pedestrian shared path) to an extended 391 kilometers in 2018 (86.7 kilometers for dedicated lanes and 304.3 for bicycle and pedestrian shared path). The number of bike stands in Taipei urban area has increased from 5,202 in 2006 to 42,121 in 2018(809%). Appropriately adjust the lane allocation ratio through management means and let the left-turning bicycle turn in a two-stage left turn. This way allows the bicycle to start earlier than the steam locomotive when the green light starts to light up. Results: The implementation results of safe bicycle transport in Taipei City effectively reduced the death and rate caused by head injuries in bicycle accidents: the number of casualties (6,262 dropped to 6,169, down 1.49%), the number of deaths (59 to 30, a drop of 49.15%) or the number of injured persons (9,099 to 8,71 1), all presented a declining trend. Conclusion: Changing car-oriented road planning, complete bicycle infrastructure, and respecting the driving awareness of bicycle users is the best protection for the public. All policies should have comprehensive safety policies to ensure personal safety. Just like separate two types of transport, the overall design of the exclusive separation bicycle road, the policy of forcing all ages riding locomotives to wear helmets, etc. In the future, we will continue to plan for self-defense special road layout, intersection ramp configuration, traffic engineering and parking and transfer facilities, so that all roads in the city are safe and friendly, and we will become the first place for bicycle safety riding. Successful experience is extended to the whole country.","Wu, Yin-Huan;Ching-Ting, Yang;Chen-Chen, Chou;Man-Lin, Chang;Ming-Yu, Hsieh;Yeh-Tzu, Kuo",,Publicly Available Content Database,No,1. Space related,
Transdisciplinary Approach in Middle School: A Case Study of Co-Teaching Practices in STEAM Teams,"A call for educational reform motivated this school system to devise an enhanced version of STEM in their middle school. This case provides rich descriptions of how eighth grade middle school teachers, from multiple disciplines, enacted a STEAM team model that integrated Language Arts into STEM. These STEAM team teachers were systematically studied during field observations of 100+ class sessions using what they referred to as ""transdisciplinary co-teaching,"" flexible scheduling, and multiple types of physical spaces to further engage students. Different dimensions of co-teaching were observed. The most frequently observed was ""reconstructed,"" followed by ""predisciplinary,"" ""correlated,"" and ""shared."" Types of instruction other than ""reconstructed,"" did not fit the school's proposed definitions of ""transdisciplinary co-teaching."" Thoughts are shared on lessons learned.","Wu, Yufei;Cheng, Jiaming;Koszalka, Tiffany A.","Junior High Schools , Middle Schools , Secondary Education , Elementary Education , Grade 8",ERIC,No,1. Space related,
Actualizing the Future Sown: Mobilizing Sensemaking to Envision Technical and Political Skills in Equity-Minded STEAM Reform,"At what point will educational actors recognize the limitations and utilize the possibilities of policy implementation processes to actualize long overdue reform measures for students--particularly those from historically marginalized backgrounds? Previous literature has attended to ways schooling processes replicate persistent historical, social, economic, cultural, and political inequities that can hinder student opportunity (Bowles &amp; Gintis, 2002; Bowles et al., 2005; Carlone et al., 2015; Morales-Doyle &amp; Gutstein, 2019). Recent calls for equity- and social justice policies focus on reducing opportunity disparities that envision schools as safe places of learning and social safety nets that offer such social services as meals beyond the school day, technology such as laptops and mobile hotspots for virtual learning (de Royston et al., 2020; Greenberg et al., 2020; Ladson-Billings, 2021). Actualizing these visions of schooling requires moving beyond theoretical discussions to actualization processes through policy implementation. This qualitative investigation is a case study of an equity-oriented reform centered around Science, Technology, Engineering, Arts, and Mathematics (STEAM) learning at the school district level in a historically segregated Southern community. The first permanently appointed Black superintendent in this school district envisioned STEAM equity-minded reform as one critical component of a larger school system reconfiguration plan to bring about institutional change while addressing one of the widest opportunity gaps in the state (Darling-Hammond, 2015; Lee, 1999; Mejias et al., 2021; Secada, 1989, 1994). Navigating the social and political dynamics in this Southern school district required grappling with deep-rooted educational inequities familiar across the nation alongside resistant forces pushing against institutional change (Kendi, 2016). Implementing such change depends upon individuals equipped with leadership skills who can effectively mobilize ""technical"" and ""political factors of reform"" to actualize ambitious policy initiatives like equity-minded school reform (Darling-Hammond &amp; Wise, 1985; Turner &amp; Spain, 2020). ""Technical factors"" focus on changing daily operations that occur within organizations while ""political factors"" refer to persuasive strategies like changing mindsets. Sustainable institutional reform depends on both factors in order to change individuals' mindsets and practices in school systems. Through the analytical lens of sensemaking, this inquiry captured participants' real-time interpretations as the reforms unfolded to make sense of their beliefs and actions in service of institutional change (Bridwell-Mitchell, 2020; Scott, 2005; Weick, 1995). Findings from this study suggest while equity-minded leaders should attend to ""technical factors of reform"" that alter the day-to-day work of educators, they cannot overlook ""political factors of reform"" to gain lasting support--indeed, neglecting the ""political factors of reform"" can imperil the policymaking to reform process, rendering the effort invested on the technical side moot. Recognizing this dilemma, the superintendent in this study positioned oft-overlooked actors such as curriculum specialists to assist him in navigating the multilayered school district, build community support and gather much-needed resources for the policy initiatives. The new school district leader determined that such organizational shifts would attend to technical elements of reform expected by political actors within the school district and larger community. Yet this case study highlights that political factors can often outweigh technical factors when stakeholders mobilize in response to threats to existing institutional norms. This discussion contributes to literatures concerned with policy implementation, organizational and institutional ideas, with the added layer of equity-minded changes to school reform and policy and politics with Science, Technology, Engineering, Arts, and Mathematics (STEAM) education. The complex nature of this discussion coupled with multiple successes that began to alter the institutional status quo in this Southern school district is perhaps why this superintendent was seemingly forced to resign in a contentious policy environment after two years of service. In light of complex national, state, and local policymaking and implementation processes, actualizing education reform in United States educational institutions can often present difficulties (Cohen &amp; Spillane, 1992; Smith &amp; O'Day, 1990). These complex processes often reduce to educational decisions residing with school boards and superintendents attuned to the pulse of community stakeholders who hold the most political influence. This can dramatically affect decision-making processes when topics seen as ""politically charged"" arise around equity, race, and opportunity gaps (Fuhrman &amp; Elmore, 1990; Spillane, 1996; Turner &amp; Spain, 2020). This examination attends to that topic space and continuous calls for critical scholarship that produce accessible insights for educational audiences on how to actualize much-needed equity-oriented reforms (Dumas &amp; Anderson, 2014; Dumas &amp; Anyon, 2006). Ultimately, this work examines the need to mobilize sensemaking, technical, and political skills to actualize equity-minded policies into sustainable reforms when contending with institutionally resistant forces. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","Monroe, Xavier Jarrod",,ERIC,No,1. Space related,
"Biblical Performance Criticism: The Almost, But not Quite, Transubstantiation of Performance Studies into Religious Studies","Because of the stripping of identifiable personal artefacts, customers are indeed coming into contact with anonymous bodies, but it is important to note that anonymous is not synonymous with unattached for Delany and the unknown author of In Gay Steam.The sentiment about getting lost and following the path as articulated by Althaus-Reid and Ahmed, not knowing the destination, is echoed by Koch (2001) when he writes:[...]I propose a scriptural hermeneutic for gay men that moves 'from within outward, in touch with the power of the erotic within ourselves.'To restate Andre Lepecki, in Exhausting Dance: Performance and the Politics of Movement (2006), concerning the nature of dance studies and its possibility to move beyond abstract arrangement of bodies in space, wrote:[...]any dance that probes and complicates how it comes into presence, and where it establishes its ground of being, suggests for critical dance studies the need to establish a renewed dialogue with contemporary philosophy ... a philosophy that understands the body not as a self-contained and closed entity but as an open and dynamic system of exchange, constantly producing modes of subjection and control, as well as of resistance and becomings.The body is placed at the center of the investigation and through movement enacts or rejects socially constructed expectations, thus eliciting a politics of movement.[...]placing dance at the center of sexuality studies is imperative because how one moves and how one moves in relation to others constitutes a public enactment of sexuality and gender (Burt, 200; p. 213).","McMillan, Christopher-Rasheem",,Publicly Available Content Database,No,1. Space related,
